CODDIS,COD_DIS_TX,NOMDIS,COD_BAR,COD_DISBAR,COD_DISB,NUM_BAR,NOMBRE,BARRIO_MAY,BARRIO_MT,FCH_ALTA,FCH_BAJA,OBSERVACIONES,APROBACION,Shape_Leng,Shape_Area
1,01,Centro,011,11,1-1,1,Palacio,PALACIO,PALACIO,,,,,"5754,82856753","1469905,93262"
1,01,Centro,012,12,1-2,2,Embajadores,EMBAJADORES,EMBAJADORES,,,,,"4275,22683989","1033724,48992"
1,01,Centro,013,13,1-3,3,Cortes,CORTES,CORTES,,,,,"3731,08135926","591874,24433"
1,01,Centro,014,14,1-4,4,Justicia,JUSTICIA,JUSTICIA,,,,,"3597,42105694","739413,492111"
1,01,Centro,015,15,1-5,5,Universidad,UNIVERSIDAD,UNIVERSIDAD,,,,,"4060,07556264","948026,383466"
1,01,Centro,016,16,1-6,8,Sol,SOL,SOL,,,,,"2719,29290859","445300,966286"
2,02,Arganzuela,021,21,2-1,1,Imperial,IMPERIAL,IMPERIAL,,,,,"4557,93786164","967679,315212"
2,02,Arganzuela,022,22,2-2,2,Acacias,ACACIAS,ACACIAS,,,,,"3950,32683333","1073436,82935"
2,02,Arganzuela,023,23,2-3,3,Chopera,CHOPERA,CHOPERA,,,,,"3203,40836935","567786,977239"
2,02,Arganzuela,024,24,2-4,4,Legazpi,LEGAZPI,LEGAZPI,,,,,"5141,64251969","1414470,93856"
2,02,Arganzuela,025,25,2-5,5,Delicias,DELICIAS,DELICIAS,,,,,"4818,00440892","1054679,05408"
2,02,Arganzuela,026,26,2-6,6,Palos de la Frontera,PALOS DE LA FRONTERA,PALOS DE LA FRONTERA,,,,,"3647,74681713","648441,64349"
2,02,Arganzuela,027,27,2-7,7,Atocha,ATOCHA,ATOCHA,,,,,"4957,68745588","735681,156115"
3,03,Retiro,031,31,3-1,1,Pacífico,PACIFICO,PACÍFICO,,,,,"4017,27769253","758250,266061"
3,03,Retiro,032,32,3-2,2,Adelfas,ADELFAS,ADELFAS,,,,,"3584,88634959","640789,191482"
3,03,Retiro,033,33,3-3,3,Estrella,ESTRELLA,ESTRELLA,,,,,"4441,31053729","1025524,26383"
3,03,Retiro,034,34,3-4,4,Ibiza,IBIZA,IBIZA,,,,,"2912,81580532","491968,676507"
3,03,Retiro,035,35,3-5,5,Los Jerónimos,LOS JERONIMOS,LOS JERÓNIMOS,,,,,"5287,48503224","1906398,25737"
3,03,Retiro,036,36,3-6,6,Niño Jesús,NIÑO JESUS,NIÑO JESÚS,,,,,"3545,83243904","643280,535693"
4,04,Salamanca,041,41,4-1,1,Recoletos,RECOLETOS,RECOLETOS,,,,,"3926,67796782","873144,938998"
4,04,Salamanca,042,42,4-2,2,Goya,GOYA,GOYA,,,,,"3473,08465705","770293,505902"
4,04,Salamanca,043,43,4-3,3,Fuente del Berro,FUENTE DEL BERRO,FUENTE DEL BERRO,,,,,"3886,35061915","852575,775906"
4,04,Salamanca,044,44,4-4,4,Guindalera,GUINDALERA,GUINDALERA,,,,,"5192,25281996","1602790,05492"
4,04,Salamanca,045,45,4-5,5,Lista,LISTA,LISTA,,,,,"3233,58367535","520214,511002"
4,04,Salamanca,046,46,4-6,6,Castellana,CASTELLANA,CASTELLANA,,,,,"3746,20634217","773385,311497"
5,05,Chamartín,051,51,5-1,1,El Viso,EL VISO,EL VISO,,,,,"5270,83063894","1709233,2586"
5,05,Chamartín,052,52,5-2,2,Prosperidad,PROSPERIDAD,PROSPERIDAD,,,,,"5253,17321656","1040057,88992"
5,05,Chamartín,053,53,5-3,3,Ciudad Jardín,CIUDAD JARDIN,CIUDAD JARDÍN,,,,,"3915,01610789","762309,360764"
5,05,Chamartín,054,54,5-4,4,Hispanoamérica,HISPANOAMERICA,HISPANOAMÉRICA,,,,,"6079,00156338","1712522,67619"
5,05,Chamartín,055,55,5-5,5,Nueva España,NUEVA ESPAÑA,NUEVA ESPAÑA,,,,,"5591,54355767","1790095,09071"
5,05,Chamartín,056,56,5-6,6,Castilla,CASTILLA,CASTILLA,,,,,"6783,48080184","2161263,84854"
6,06,Tetuán,061,61,6-1,1,Bellas Vistas,BELLAS VISTAS,BELLAS VISTAS,,,,,"3433,62711363","715170,087522"
6,06,Tetuán,062,62,6-2,2,Cuatro Caminos,CUATRO CAMINOS,CUATRO CAMINOS,,,,,"4354,62272929","1185034,68341"
